unit_id,housing_type,bedrooms,bathrooms,full_bathrooms,half_bathrooms,maximum_occupants,square_footage,minimum_stay_duration,has_rest_days,is_in_hoa,is_sub_unit,city_name,county,zip5,state_name_short,unit_latitude,unit_longitude
561,house,3,3,2,1,11,3294,2,false,false,false,Neskowin,Tillamook,97149,OR,45.133884,-123.971585
570,cabin,2,2,2,0,8,1484,2,false,false,false,Rhododendron,Clackamas,97049,OR,45.367834,-121.995524
600,house,3,2,2,0,6,1400,3,false,false,false,Sunriver,Deschutes,97707,OR,43.887782,-121.422053
902,condo,1,1,1,0,4,302,1,false,false,true,Squaw Valley,Placer,96146,CA,39.199100,-120.218075
966,duplex,3,2,2,0,6,1528,3,false,false,false,Gleneden Beach,Lincoln,97388,OR,44.879153,-124.035683
1297,townhouse,4,5,5,0,12,2555,3,false,false,false,Cottonwood Heights,Salt Lake,84121,UT,40.600605,-111.794478
1338,house,3,2,2,0,6,1513,2,false,false,false,Mendocino,Mendocino,95460,CA,39.339854,-123.812974
1986,house,5,3,3,0,12,2947,2,false,false,false,Fort Bragg,Mendocino,95437,CA,39.557152,-123.764937
2378,condo,2,2,2,0,6,1327,1,false,false,false,Panama City Beach,Bay,32408,FL,30.168927,-85.789136
2857,house,3,2,1,1,7,1052,2,false,false,true,Rockaway Beach,Tillamook,97136,OR,45.625364,-123.943877
3110,house,3,4,3,1,8,2142,2,false,false,false,Eagle Crest,Deschutes,97756,OR,44.259791,-121.273210
3322,condo,2,2,2,0,4,1018,2,false,false,false,La Quinta,Riverside,92253,CA,33.648209,-116.271754
3452,condo,1,1,1,0,4,806,2,false,false,false,Chelan,Chelan,98816,WA,47.854262,-120.061595
3728,condo,1,2,1,1,4,776,2,false,false,false,Galveston,Galveston,77550,TX,29.294878,-94.782434
4069,condo,2,2,2,0,6,1472,2,false,false,false,Sun Valley,Blaine,83353,ID,43.683366,-114.336329
4636,studio,0,1,1,0,2,328,2,false,false,false,Lincoln City,Lincoln,97367,OR,44.939294,-124.022741
4668,house,3,2,2,0,6,1285,2,false,false,false,Leavenworth,Chelan,98826,WA,47.732532,-120.658207
4929,studio,0,1,1,0,4,567,1,false,false,false,Fredericksburg,Gillespie,78624,TX,30.307593,-98.814450
4932,cabin,6,4,3,1,14,2868,2,false,false,false,Rhododendron,Clackamas,97049,OR,45.366040,-121.932079
5311,house,3,2,2,0,6,2486,2,false,false,false,Sea Ranch,Sonoma,95497,CA,38.740484,-123.502954
5418,house,5,3,3,0,12,2716,3,false,false,false,Sunriver,Deschutes,97707,OR,43.892962,-121.445097
5582,house,3,2,2,0,8,1701,2,false,false,false,Sisters,Deschutes,97759,OR,44.285694,-121.548878
5947,apartment,2,1,1,0,4,1449,2,false,false,false,McMinnville,Yamhill,97128,OR,45.173094,-123.211862
6074,condo,1,1,1,0,6,807,3,false,false,false,Solitude,Salt Lake,84121,UT,40.619897,-111.591492
6612,cabin,0,1,1,0,2,600,1,false,false,false,Sautee Nacoochee,White,30571,GA,34.740153,-83.683836
6614,cabin,2,2,2,0,5,1020,2,false,false,false,Sautee Nacoochee,White,30571,GA,34.751351,-83.665948
6635,cabin,1,1,1,0,2,600,1,false,false,false,Sautee Nacoochee,White,30571,GA,34.740478,-83.684267
6713,house,3,2,2,0,9,1731,2,false,false,false,Rockaway Beach,Tillamook,97136,OR,45.624841,-123.943960
6722,condo,1,2,2,0,4,737,2,false,false,false,Lincoln City,Lincoln,97367,OR,44.987890,-124.013091
7092,condo,3,2,2,0,6,1456,3,false,false,false,Panama City Beach,Bay,32408,FL,30.147468,-85.761473
8338,cabin,5,3,3,0,10,2420,2,false,false,false,Sevierville,Sevier,37862,TN,35.801130,-83.606758
8343,cabin,1,2,1,1,2,800,1,false,false,false,Pigeon Forge,Sevier,37863,TN,35.785901,-83.570841
8550,condo,3,3,3,0,7,1389,2,false,false,false,Mammoth Lakes,Mono,93546,CA,37.644099,-119.000321
8746,house,4,2,2,0,10,1587,2,false,false,false,Rockaway Beach,Tillamook,97136,OR,45.584517,-123.950164
8907,condo,2,2,2,0,6,1055,1,false,false,false,Panama City Beach,Bay,32407,FL,30.185403,-85.820893
9526,duplex,3,2,2,0,8,1513,2,false,false,false,Pacific City,Tillamook,97135,OR,45.210334,-123.966391
10051,condo,3,2,2,0,6,1200,2,false,false,false,Warren,Washington,05674,VT,44.137932,-72.885369
10136,house,1,2,2,0,4,900,1,false,false,false,Coupeville,Island,98239,WA,48.223760,-122.730817
10156,house,2,2,2,0,6,1160,2,false,false,false,South Lake Tahoe,El Dorado,96150,CA,38.862412,-119.997425
10448,condo,2,2,2,0,6,1050,1,false,false,false,Panama City Beach,Bay,32413,FL,30.240282,-85.924611
10534,house,3,1,1,0,6,796,2,false,false,false,Oakland,Garrett,21550,MD,39.502278,-79.409010
10654,studio,0,1,1,0,4,200,1,false,false,false,Key West,Monroe,33040,FL,24.548788,-81.801618
10702,condo,2,2,2,0,6,770,1,false,false,false,Key West,Monroe,33040,FL,24.560032,-81.752869
10752,cabin,3,3,2,1,8,703,3,false,false,true,Key West,Monroe,33040,FL,24.550829,-81.799921
10913,condo,3,2,2,0,8,2030,2,false,false,false,Lahaina,Maui,96761,HI,20.970138,-156.678577
11071,cabin,2,3,2,1,6,1974,2,false,false,false,Florence,Lane,97439,OR,43.904101,-124.101135
11193,house,2,2,2,0,4,1506,2,false,false,false,Sea Ranch,Sonoma,95497,CA,38.750200,-123.510087
11195,condo,2,2,2,0,4,1313,1,false,false,false,Ketchum,Blaine,83353,ID,43.692103,-114.361320
11257,condo,2,2,2,0,8,1232,3,false,false,false,Hilton Head,Beaufort,29928,SC,32.165454,-80.718265
11461,suite,1,2,1,1,4,786,2,false,false,false,Hilton Head,Beaufort,29928,SC,32.206501,-80.685117
11623,condo,2,3,2,1,7,1360,3,false,false,false,Hilton Head,Beaufort,29928,SC,32.206711,-80.684975
12014,house,2,1,1,0,8,1102,2,false,false,false,South Lake Tahoe,El Dorado,96150,CA,38.930178,-119.958109
12044,house,3,2,2,0,6,1980,2,false,false,false,Leavenworth,Chelan,98826,WA,47.728432,-120.661031
12349,house,3,2,2,0,6,1700,2,false,false,false,Shaver Lake,Fresno,93664,CA,37.076058,-119.333623
12634,cabin,2,2,1,1,6,1156,1,false,false,false,Big Bear Lake,San Bernardino,92315,CA,34.241890,-116.872319
12786,condo,2,1,1,0,6,740,1,false,false,false,Corpus Christi,Nueces,78418,TX,27.622774,-97.223039
13359,house,3,3,2,1,6,1620,2,false,false,false,Oakland,Garrett,21550,MD,39.517376,-79.327895
13606,condo,1,1,1,0,2,700,7,false,false,false,Bradenton Beach,Manatee,34217,FL,27.475794,-82.700851
13754,villa,3,3,2,1,6,1610,7,false,false,false,Holmes Beach,Manatee,34217,FL,27.512246,-82.718367
13829,condo,2,2,2,0,6,1381,2,false,false,false,Dover,Bonner,83825,ID,48.245289,-116.609005
14015,house,3,2,2,0,7,1896,2,false,false,false,McCall,Valley,83638,ID,44.866600,-116.131776
14040,condo,2,1,1,0,4,996,2,false,false,false,McCall,Valley,83638,ID,44.918884,-116.091310
14749,house,2,2,2,0,7,1144,2,false,false,false,Waldport,Lincoln,97394,OR,44.418083,-124.080675
14787,cabin,2,2,2,0,5,1250,2,false,false,false,Cherry Log,Gilmer,30522,GA,34.828502,-84.395576
14943,condo,2,2,2,0,6,975,1,false,false,false,Keystone,Summit,80435,CO,39.607687,-105.927053
15397,condo,1,2,2,0,4,811,2,false,false,false,Kihei,Maui,96753,HI,20.712165,-156.444286
15695,house,3,2,2,0,8,1236,3,false,false,false,Kiawah Island,Charleston,29455,SC,32.598121,-80.104706
